,Arousal,Compound,Dominance,Flair,POS nlkt,POS spcy,POS stza,Stanza,Subjectivity,Valence,category,word
0,0.55,0.3,0.74,NEGATIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,tolerance
1,0.55,0.0,0.74,POSITIVE,NOUN,VERB,VERB,1.0,0.0,0.89,confident,carry
2,0.55,0.42,0.74,POSITIVE,NOUN,NOUN,NOUN,2.0,0.0,0.89,confident,tranquility
3,0.55,0.0,0.74,POSITIVE,ADJ,ADJ,ADJ,1.0,0.0,0.89,confident,socontagious
4,0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,NOUN,2.0,0.0,0.89,confident,zeal
5,0.55,0.38,0.74,POSITIVE,VERB,VERB,NOUN,1.0,0.0,0.89,confident,admiring
6,0.55,0.34,0.74,POSITIVE,VERB,VERB,VERB,1.0,0.0,0.89,confident,shared
7,0.55,0.0,0.74,NEGATIVE,ADJ,PROPN,ADJ,1.0,0.12,0.89,confident,basic glitter
8,0.55,0.0,0.74,POSITIVE,NOUN,PROPN,ADV,1.0,0.0,0.89,confident,aksesoris
9,0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,peepul
10,0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,inclusion
11,0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,bisa
12,0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,movement
13,0.55,0.0,0.74,POSITIVE,NOUN,PROPN,INTJ,1.0,0.0,0.89,confident,talkin
14,0.55,0.0,0.74,POSITIVE,NOUN,PROPN,ADJ,1.0,0.0,0.89,confident,iloveyou
15,0.55,0.0,0.74,POSITIVE,VERB,VERB,VERB,1.0,0.0,0.89,confident,learned
16,0.55,0.0,0.74,POSITIVE,ADJ,PROPN,ADJ,2.0,1.0,0.89,confident,ultimate
17,0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,jesus
18,0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,wadsworth
19,0.55,0.0,0.74,POSITIVE,NOUN,VERB,NOUN,1.0,0.0,0.89,confident,judging
20,0.55,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,journey
21,0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,transaction
22,0.55,0.0,0.74,POSITIVE,NOUN,X,NOUN,1.0,0.0,0.89,confident,zest
