,category,word,score,Compound,Subjectivity,Stanza,Flair,Valence,Arousal,Dominance,quadrant
0,pos hp,abiding,--,0.0,0.0,1.0,POSITIVE,0.7959999999999999,0.327,0.75,4.0
1,pos hp,abode,--,0.0,0.0,1.0,POSITIVE,0.62,0.302,0.5,4.0
2,pos hp,abreast,--,0.0,0.0,1.0,POSITIVE,0.635,0.38,0.519,4.0
3,pos hp,absolve,--,0.296,0.0,0.0,NEGATIVE,0.684,0.449,0.66,4.0
4,pos hp,absorbent,--,0.0,0.0,1.0,POSITIVE,0.552,0.39399999999999996,0.718,4.0
5,pos hp,accession,--,0.0,0.0,1.0,POSITIVE,0.612,0.38299999999999995,0.636,4.0
6,pos hp,accommodate,--,0.0,0.0,1.0,POSITIVE,0.8440000000000001,0.375,0.5660000000000001,4.0
7,pos hp,accompany,--,0.0,0.0,1.0,POSITIVE,0.833,0.406,0.585,4.0
8,pos hp,accompanying,--,0.0,0.0,1.0,POSITIVE,0.787,0.46,0.5820000000000001,4.0
9,pos hp,accordance,--,0.0,0.0,1.0,POSITIVE,0.659,0.349,0.6,4.0
10,pos hp,accuracy,--,0.0,0.0,2.0,POSITIVE,0.604,0.48100000000000004,0.802,4.0
11,pos hp,acoustics,--,0.0,0.0,1.0,POSITIVE,0.611,0.33,0.509,4.0
12,pos hp,acquaint,--,0.0,0.0,1.0,POSITIVE,0.6459999999999999,0.491,0.639,4.0
13,pos hp,acquaintance,--,0.0,0.0,1.0,POSITIVE,0.6559999999999999,0.29,0.67,4.0
14,pos hp,acquainted,--,0.0,0.6,1.0,POSITIVE,0.9059999999999999,0.358,0.632,4.0
15,pos hp,acquiescence,--,0.0,0.0,1.0,POSITIVE,0.542,0.48,0.5539999999999999,4.0
16,pos hp,acquittal,--,0.0,0.0,1.0,POSITIVE,0.76,0.49700000000000005,0.7,4.0
17,pos hp,acreage,--,0.0,0.0,1.0,POSITIVE,0.741,0.45,0.528,4.0
18,pos hp,acres,--,0.0,0.0,1.0,POSITIVE,0.51,0.363,0.5,4.0
19,pos hp,actuality,--,0.0,0.0,1.0,POSITIVE,0.75,0.46399999999999997,0.6,4.0
20,pos hp,acupuncture,--,0.0,0.0,1.0,POSITIVE,0.531,0.324,0.5489999999999999,4.0
21,pos hp,adage,--,0.0,0.0,1.0,POSITIVE,0.517,0.415,0.5660000000000001,4.0
22,pos hp,adaptation,--,0.0,0.0,1.0,POSITIVE,0.6629999999999999,0.365,0.609,4.0
23,pos hp,addressee,--,0.0,0.0,1.0,POSITIVE,0.622,0.382,0.5379999999999999,4.0
