category,word,score,Compound,Subjectivity,Stanza,Flair
anger,morals,1.0,0.0,0.0,1.0,POSITIVE
anger,moral,1.0,0.0,0.25,1.0,POSITIVE
anger,chant,1.0,0.0,0.0,1.0,NEGATIVE
anger,chaos,1.0,-0.5719,0.0,0.0,NEGATIVE
anger,chaotic,1.0,-0.4939,0.0,0.0,NEGATIVE
anger,trickery,1.0,-0.2732,0.0,1.0,NEGATIVE
anger,trespass,1.0,0.0,0.0,1.0,NEGATIVE
anger,morbidity,1.0,0.0,0.0,0.0,NEGATIVE
anger,monstrosity,1.0,0.0,0.0,0.0,NEGATIVE
anger,moody,1.0,-0.3612,0.0,1.0,NEGATIVE
anger,treachery,1.0,0.0,0.0,0.0,NEGATIVE
anger,treason,1.0,-0.4404,0.0,1.0,NEGATIVE
anger,chaff,1.0,0.0,0.0,1.0,NEGATIVE
anger,treacherous,1.0,0.0,0.0,1.0,NEGATIVE
anger,treat,1.0,0.4019,0.0,2.0,POSITIVE
anger,mortality,1.0,0.0,0.0,0.0,NEGATIVE
anger,challenge,1.0,0.0772,0.0,1.0,NEGATIVE
anger,tremor,1.0,0.0,0.0,1.0,NEGATIVE
anger,mosquito,1.0,0.0,0.0,1.0,NEGATIVE
anger,mosque,1.0,0.0,0.0,1.0,POSITIVE
anger,tree,1.0,0.0,0.0,1.0,POSITIVE
anger,mob,1.0,0.0,0.0,1.0,NEGATIVE
anger,mocking,1.0,-0.4019,0.0,1.0,NEGATIVE
anger,tumult,1.0,0.0,0.0,1.0,NEGATIVE
anger,tumultuous,1.0,0.0,0.0,1.0,NEGATIVE
anger,money,1.0,0.0,0.0,1.0,NEGATIVE
anger,tripping,1.0,0.0,0.0,0.0,NEGATIVE
anger,troll,1.0,0.0,0.0,0.0,NEGATIVE
anger,troublesome,1.0,-0.5106,0.0,0.0,NEGATIVE
anger,molestation,1.0,-0.4404,0.0,0.0,NEGATIVE
anger,cheat,1.0,-0.4588,0.0,1.0,NEGATIVE
anger,casualty,1.0,-0.5267,0.0,1.0,NEGATIVE
anger,nag,1.0,-0.3612,0.0,1.0,NEGATIVE
anger,toughness,1.0,-0.0516,0.0,1.0,POSITIVE
