,score
0,2.63
1,0.46
2,1.0
3,2.69
4,1.0
5,2.69
6,0.36
7,2.69
8,2.69
9,2.69
10,2.69
11,2.62
12,0.4
13,0.31
14,0.36
15,0.43
16,0.43
17,0.37
18,2.69
19,0.37
20,0.44
21,1.0
22,1.0
23,0.36
24,2.69
25,2.69
26,0.44
27,0.44
28,1.0
29,1.0
30,2.69
31,0.43
32,0.31
33,2.62
34,0.32
35,2.69
36,0.32
37,2.64
38,0.4
39,0.31
40,0.4
41,0.4
42,1.0
43,0.4
44,0.37
45,0.37
46,0.36
47,0.4
48,0.31
49,0.32
50,0.31
51,0.43
52,0.31
53,0.37
54,0.36
55,1.0
56,0.4
57,0.4
58,2.69
59,2.69
60,0.4
61,2.65
62,0.46
63,0.36
64,0.4
65,0.32
66,0.37
67,0.4
68,0.43
69,0.39
70,0.36
71,0.38
72,2.69
73,1.0
74,0.33
75,0.39
76,1.0
77,0.42
78,0.39
79,0.33
80,0.35
81,0.35
82,0.38
83,1.0
84,1.0
85,0.39
86,2.69
87,1.0
88,1.0
89,0.44
90,0.44
91,2.69
92,0.42
93,2.69
94,1.0
95,0.38
96,0.33
97,0.33
98,2.69
99,1.0
100,0.45
101,2.69
102,0.41
103,0.32
104,2.69
105,1.0
106,0.45
107,0.4
108,2.69
109,2.69
110,2.69
111,0.42
112,0.32
113,0.39
114,0.35
115,0.35
116,0.37
117,2.69
118,0.35
119,2.69
120,0.42
121,2.69
122,2.69
123,0.45
124,1.0
125,0.45
126,2.69
127,1.0
128,0.39
129,0.34
130,0.34
131,0.34
132,0.39
133,2.69
134,0.39
135,0.34
136,0.39
137,0.34
138,2.69
139,0.42
140,0.42
141,0.34
142,0.33
143,2.69
144,2.69
145,0.34
146,2.69
147,2.69
148,2.69
149,0.33
150,0.45
151,0.44
152,0.44
153,0.42
154,0.45
155,0.34
156,2.69
157,0.33
158,0.41
159,0.33
160,0.41
161,2.69
162,0.45
163,2.69
164,2.69
165,0.34
166,0.41
167,0.33
168,0.45
169,2.69
170,0.34
171,0.44
172,0.46
173,1.0
174,0.36
175,2.69
176,0.32
177,1.0
178,0.46
179,0.32
180,2.67
181,2.69
182,1.0
183,0.35
184,0.36
185,0.44
186,2.69
187,1.0
188,0.43
189,0.4
190,0.36
191,0.36
192,2.68
193,2.67
194,1.0
195,2.69
196,0.4
